4416|张家口南|北京|487|796
4464|阳泉|临西|676|1051
4465|石家庄北|阳泉|503|635
4466|阳泉|石家庄北|1032|1175
4471|北京北|承德|552|1176
4473|承德|北京北|405|990
4481|天津|涉县|421|1185
4482|涉县|天津|516|1358
4611|太原|介休|437|626
4612|介休|太原|923|1067
4615|宁武|太原|1058|1275
4616|太原|宁武|509|733
4627|临汾|运城|582|721
4628|运城|临汾|660|782
4629|大同|朔州|406|526
4630|朔州|大同|1070|1199
4635|忻州|太原|486|605
4636|太原|忻州|1012|1127
4641|大同|朔州|945|1066
4642|朔州|大同|1152|1273
4643|太原|柳林南|1048|1232
4652|呼和浩特|二连|1319|1766
4654|二连|呼和浩特|825|1296
4706|南阳|洛阳|602|910
4708|洛阳|邓州|662|940
4717|郑州|邓州|427|802
4718|邓州|南阳|910|954
4720|南阳|郑州|940|1336
4732|南阳|洛阳|739|958
4734|洛阳|邓州|439|745
4741|南阳|邓州|407|525
4742|邓州|南阳|682|731
4744|邓州|南阳|1047|1090
4746|邓州|南阳|1170|1213
4811|宜昌东|恩施|580|838
4812|恩施|宜昌东|1032|1264
5005|枣庄西|临沂|462|585
5006|临沂|枣庄西|680|790
5007|枣庄西|临沂|830|943
5008|临沂|枣庄西|982|1105
5014|烟台|菏泽|1050|1759
5018|烟台|曹县|525|1248
5020|曹县|烟台|1223|1912
5022|青岛|曹县|1205|1910
5024|曹县|青岛|546|1210
5026|青岛|曹县|522|1167
5028|曹县|青岛|1297|1886
5036|枣庄西|烟台|1212|1978
5038|青岛北|枣庄西|1188|1862
5040|菏泽|威海|558|1378
5042|威海|菏泽|1180|1948
5045|济南|济宁|528|694
5046|济宁|济南|1056|1234
5365|长沙|韶山|390|548
5366|韶山|长沙|1050|1225
5505|桂林北|茂名西|510|1179
5506|茂名西|桂林北|555|1251
5511|南宁|凭祥|475|790
5512|凭祥|南宁|840|1170
5517|南宁|崇左|922|1049
5518|崇左|南宁|1090|1234
5538|湛江|金城江|740|1335
5540|金城江|湛江|480|1090
5609|重庆北|秀山|500|1290
5610|秀山|重庆北|443|1115
5611|内江|重庆|620|1142
5612|重庆|内江|360|966
5619|燕岗|普雄|979|1437
5620|普雄|燕岗|438|818
5629|重庆|遵义|634|1233
5630|遵义|重庆|547|1102
5633|普雄|攀枝花|781|1337
5634|攀枝花|普雄|744|1291
5635|内江|昭通|470|1103
5636|昭通|内江|570|1217
5639|玉屏|贵阳|465|960
5640|贵阳|玉屏|788|1252
5645|贵阳|昭通|717|1317
5647|昭通|贵阳|630|1262
5801|乌鲁木齐|阿拉山口|1348|1898
5802|阿拉山口|乌鲁木齐|1407|1958
5809|喀什|和田|720|1123
5810|和田|喀什|660|1045
5818|乌鲁木齐南|和田|965|2377
5820|伊宁|霍尔果斯|540|608
6003|六盘水|红果|956|1208
6004|红果|六盘水|620|911
6021|吉林|香坊|448|839
6022|香坊|吉林|942|1315
6025|麻城|九江|510|808
6026|九江|麻城|870|1095
6029|承德|赤峰|797|1213
6030|赤峰|承德|375|777
6031|石家庄北|太原|426|793
6032|太原|石家庄北|878|1260
6034|太原|石家庄北|390|761
6035|通辽|锡林浩特|570|1246
6036|锡林浩特|通辽|1155|1880
6039|通辽|集宁南|485|508
6041|集宁南|通辽|568|1960
6043|邯郸|长治北|773|1147
6044|长治北|邯郸|475|920
6045|临汾|韩城|540|742
6046|韩城|临汾|1014|1241
6055|大同|包头|480|1019
6056|包头|大同|490|1093
6061|六盘水|昆明|367|1012
6062|昆明|六盘水|465|1228
6063|宝鸡|广元|453|1171
6064|广元|宝鸡|410|1105
6065|安康|达州|556|900
6066|达州|安康|969|1292
6072|宝鸡|平凉|410|731
6074|平凉|宝鸡|790|1143
6087|张家口南|大同|935|1138
6161|攀枝花|昆明|911|1311
6162|昆明|攀枝花|430|880
6215|桦南|佳木斯|370|473
6216|佳木斯|桦南|270|346
6223|牡丹江|东方红|470|1139
6224|东方红|牡丹江|570|1233
6225|哈尔滨|帽儿山|1018|1188
6226|帽儿山|香坊|286|416
6231|五常|哈尔滨|444|630
6232|香坊|五常|490|633
6233|五常|哈尔滨|823|976
6234|哈尔滨|五常|985|1198
6238|海拉尔|塔尔气|323|811
6240|塔尔气|海拉尔|840|1317
6245|齐齐哈尔|古莲|605|1811
6246|古莲|齐齐哈尔|678|1872
6251|牡丹江|鸡西|807|1132
6252|鸡西|牡丹江|442|737
6253|哈尔滨|绥化|1096|1269
6254|绥化|哈尔滨|416|520
6257|佳木斯|双鸭山|1079|1195
6258|双鸭山|佳木斯|346|446
6259|齐齐哈尔|富拉尔基|290|340
6260|富拉尔基|三间房|455|491
6261|三间房|富拉尔基|522|556
6262|富拉尔基|三间房|598|641
6263|三间房|富拉尔基|988|1025
6264|富拉尔基|汤池|1098|1152
6265|汤池|富拉尔基|1200|1253
6266|富拉尔基|齐齐哈尔|1282|1330
6268|海拉尔|莫尔道嘎|1299|2005
6270|莫尔道嘎|海拉尔|936|1755
6272|佳木斯|乌伊岭|700|1319
6274|乌伊岭|佳木斯|640|1310
6275|泰来|齐齐哈尔|615|748
6276|齐齐哈尔|泰来|420|595
6277|泰来|齐齐哈尔|941|1081
6278|齐齐哈尔|泰来|622|757
6279|三间房|齐齐哈尔|1171|1215
6280|齐齐哈尔|三间房|1110|1151
6282|佳木斯|七台河|857|1130
6284|七台河|佳木斯|393|670
6286|牡丹江|长汀镇|1051|1237
6288|长汀镇|牡丹江|329|473
6291|佳木斯|鹤北|991|1155
6292|鹤北|佳木斯|430|593
6335|公主岭|长春|380|447
6336|长春|公主岭|1088|1149
6337|长春|陶赖昭|1068|1184
6338|德惠|长春|278|360
6345|通化|龙井|399|963
6346|龙井|通化|738|1342
6361|马三家|沈阳|543|582
6362|沈阳|马三家|429|470
6363|马三家|沈阳|982|1014
6364|沈阳|马三家|923|956
6365|马三家|沈阳|1182|1217
6366|沈阳|马三家|1090|1128
6397|安平|本溪|1170|1238
6398|本溪|安平|1068|1135
6419|通州西|承德|485|892
6420|承德|通州西|643|1083
6423|邯郸|潞城|423|773
6424|潞城|邯郸|802|1130
6433|兴隆县|承德|423|600
6434|承德|兴隆县|1124|1337
6436|平泉|承德|1050|1204
6437|北京西|大涧|1065|1495
6452|杨村|北京|427|662
6455|承德|平泉|894|1026
6456|平泉|承德|666|818
6601|哈尔滨|大庆西|263|530
6602|大庆西|滨江|1074|1355
6801|太原|镇城底|390|486
6802|镇城底|太原|548|645
6805|太原|镇城底|1060|1170
6815|介休|阳泉曲|632|710
6816|阳泉曲|介休|840|917
6817|灵丘|太原|532|978
6818|太原|灵丘|438|866
6819|宁武|岢岚|758|872
6820|岢岚|宁武|917|1031
6821|河边|忻州|428|480
6822|忻州|河边|1142|1194
6823|大同|宁武|786|992
6833|宁武|岢岚|998|1137
6845|临汾|运城|428|631
6849|临汾|侯马|1070|1144
6850|侯马|临汾|510|578
6851|包头东|乌海西|525|933
6852|乌海西|包头东|550|983
6853|包头东|白云鄂博|989|1267
6854|白云鄂博|包头东|408|689
6856|呼和浩特|二连|598|1108
6858|二连|呼和浩特|576|1132
6905|新乡|长治北|652|993
6907|长治北|新乡|570|925
6918|阳城|洛阳|814|1008
6920|洛阳|嘉峰|394|671
6953|双城堡|平房|1063|1165
6955|平房|双城堡|1192|1309
6967|伊春|乌伊岭|815|1030
6968|乌伊岭|伊春|585|789
7001|西安|韩城|755|1189
7003|韩城|西安|482|885
7005|榆林|西安|470|1196
7006|西安|榆林|466|1186
7007|商南|西安|480|837
7008|西安|商南|822|1222
7053|淄博|泰山|412|761
7054|泰山|淄博|795|1129
7265|张家界|怀化|515|890
7266|怀化|澧县|420|955
7267|澧县|张家界|988|1228
7269|怀化|塘豹|450|762
7270|塘豹|怀化|792|1050
